	Nationality	Date	Classification
756	Italian	1969	Architecture
757	Italian	1969	Architecture
758	Italian	1969	Architecture
759	German	1964	Architecture
760	British	1958	Architecture
761	British	1957	Architecture
762	British	1975	Architecture
763	Italian	1999	Architecture
764	Italian	1999	Architecture
765	Italian	1999	Architecture
766	Italian	1999	Architecture
767	Italian	1999	Architecture
768	Italian	1999	Architecture
769	Italian	1999	Architecture
770	Italian	1999	Architecture
771	French	1935	Architecture
772	American	1988	Architecture
773	American	1982	Architecture
774	Dutch	1989	Architecture
775	American	1927	Architecture
776	Swiss	1988	Architecture
777	American	1984	Architecture
778	American	1968	Architecture
779	Dutch	1994	Architecture
780	Dutch	1993	Architecture
781	American	1988	Architecture
782	British	1970	Architecture
783	British	1970	Architecture
784	American	1934	Architecture
785	French	1976	Architecture
786	American	1959	Architecture
787	American	1964	Architecture
788	American	1959	Architecture
789	American	1959	Architecture
790	American	1959	Architecture
791	American	1959	Architecture
792	American	1959	Architecture
793	Japanese	1993	Architecture
794	American	1949	Architecture
795	Japanese	1985	Architecture
796	Japanese	1989	Architecture
797	Brazilian	1979	Architecture
798	American	1923	Architecture
799	German	1995	Architecture
800	American	1913	Architecture
801	American	1929	Architecture
802	Swiss	1984	Architecture
803	French	1987	Architecture
804	French	1930	Architecture
805	American	1922	Architecture
806	American	1921	Architecture
807	American	1945	Architecture
808	American	1928	Architecture
809	American	1928	Architecture
810	Finnish	1955	Architecture
811	Finnish	1927	Architecture
812	American	1928	Architecture
813	American	1967	Architecture
814	American	1992	Architecture
815	Dutch	1924	Architecture
816	Swiss	1988	Architecture
817	American	1930	Architecture
818	American	1977	Architecture
819	American	1968	Architecture
820	American	1937	Architecture
821	Spanish	1991	Architecture
822	Japanese	1984	Architecture
823	Dutch	1992	Architecture
824	Spanish	1987	Architecture
825	Spanish	1989	Architecture
826	Austrian	1984	Architecture
827	American	1949	Architecture
828	American	1991	Architecture
829	American	1984	Architecture
830	Austrian	2002	Architecture
831	Swiss	1992	Architecture
832	Japanese	2001	Architecture
833	Dutch	1990	Architecture
834	American	2001	Architecture
835	Japanese	1967	Architecture
836	French	1992	Architecture
837	Austrian	1991	Architecture
838	American	1976	Architecture
839	American	1994	Architecture
840	Japanese	1992	Architecture
841	American	1994	Architecture
842	Iranian	1992	Architecture
843	American	1961	Architecture
844	American	1983	Architecture
845	American	1987	Architecture
846	British	1993	Architecture
847	Finnish	1990	Architecture
848	Finnish	1990	Architecture
849	Swiss	1992	Architecture
850	American	1997	Architecture
851	American	1996	Architecture
852	Japanese	1993	Architecture
853	Italian	1988	Architecture
854	American	1991	Architecture
855	Japanese	1991	Architecture
856	American	1983	Architecture
857	Finnish	1944	Architecture
858	Finnish	1955	Architecture
859	Finnish	1958	Architecture
860	Argentine	1975	Architecture
861	Argentine	1976	Architecture
862	American	1953	Architecture
863	American	1978	Architecture
864	American	1978	Architecture
865	American	1954	Architecture
866	American	1936	Architecture
867	Canadian	1994	Architecture
868	British	1978	Architecture
869	British	1960	Design
870	American	1949	Design
871	Finnish	1967	Design
872	Austrian	1938	Design
873	Swiss	1886	Design
874	British	1960	Design
875	American	1920	Design
876	British	1963	Design
877	American	1950	Design
878	American	1951	Design
879	Italian	1960	Design
880	Danish	1965	Design
881	German	1970	Design
882	Austrian	1950	Design
883	Swedish	1949	Design
884	German	1972	Design
885	German	1957	Design
886	German	1970	Design
887	American	1963	Design
888	Italian	1962	Design
889	French	1972	Design
890	Italian	1968	Design
891	German	1963	Design
892	Danish	1979	Design
893	Italian	1960	Design
894	Italian	1958	Design
895	American	1954	Design
896	American	1963	Design
897	American	1966	Design
898	American	1966	Design
899	American	1946	Design
900	German	1959	Design
901	Swedish	1974	Design
902	Swedish	1974	Design
903	Swedish	1974	Design
904	American	1955	Design
905	American	1955	Design
906	Finnish	1955	Design
907	Finnish	1957	Design
908	Danish	1955	Design
909	Swedish	1953	Design
910	American	1951	Design
911	Italian	1962	Design
912	Danish	1953	Design
913	German	1966	Design
914	Japanese	1973	Design
915	Italian	1957	Design
916	American	1956	Design
917	American	1950	Design
918	American	1957	Design
919	Austrian	1967	Design
920	Belgian	1976	Design
921	American	1946	Design
922	American	1966	Design
923	Japanese	1985	Design
924	German	1966	Design
925	German	1966	Design
926	Italian	1957	Design
927	Danish	1978	Design
928	Danish	1977	Design
929	Danish	1977	Design
930	Danish	1977	Design
931	Danish	1977	Design
932	Danish	1977	Design
933	Italian	1978	Design
934	Danish	1978	Design
935	Italian	1956	Design
936	American	1972	Design
937	Swiss	1977	Design
938	Austrian	1915	Design
939	American	1955	Design
940	Austrian	1915	Design
941	American	1953	Design
942	American	1953	Design
943	Danish	1979	Design
944	Italian	1968	Design
945	American	1985	Design
946	American	1955	Design
947	American	1955	Design
948	Japanese	1977	Design
949	Italian	1975	Design
950	Italian	1975	Design
951	Italian	1975	Design
952	Italian	1975	Design
953	American	1951	Design
954	American	1944	Design
955	Italian	1993	Design
956	American	1946	Design
957	American	1931	Design
958	German	1901	Design
959	American	1937	Design
960	Russian	1923	Design
961	Japanese	1989	Design
962	German	1930	Design
963	American	1954	Design
964	Italian	1979	Design
965	Japanese	1992	Design
966	American	1932	Design
967	Italian	1970	Design
968	American	1948	Design
969	Japanese	1980	Design
970	British	1993	Design
971	Italian	1970	Design
972	American	1952	Design
973	American	1912	Architecture
974	American	1992	Design
975	Italian	1981	Design
976	American	1990	Design
977	German	1924	Design
978	Finnish	1947	Design
979	American	1986	Design
980	Italian	1994	Design
981	American	1927	Design
982	American	1952	Design
983	American	1968	Design
984	Finnish	1948	Design
985	American	1927	Design
986	American	1952	Design
987	American	1962	Design
988	Finnish	1948	Design
989	American	1927	Design
990	American	1954	Design
991	Danish	1957	Design
992	Finnish	1953	Design
993	American	1927	Design
994	Swedish	1952	Design
995	Italian	1985	Design
996	German	1993	Design
997	German	1908	Design
998	American	1942	Design
999	American	1954	Design
1000	American	1994	Design
1001	Danish	1952	Design
1002	American	1989	Design
1003	American	1951	Design
1004	American	1951	Design
1005	American	1951	Design
1006	American	1954	Design
1007	Austrian	1968	Design
1008	Italian	1949	Design
1009	German	1902	Design
1010	Danish	1926	Design
1011	Italian	1949	Design
1012	American	1950	Design
1013	Italian	1966	Design
1014	French	1928	Design
1015	Austrian	1904	Design
1016	Austrian	1955	Design
1017	Danish	1994	Design
1018	Danish	1950	Design
1019	Swedish	1933	Design
1020	American	1949	Design
1021	American	1949	Design
1022	Spanish	1992	Design
1023	Finnish	1996	Design
1024	Swedish	1933	Design
1025	American	1971	Design
1026	American	1952	Design
1027	Italian	1992	Design
1028	British	1997	Design
1029	American	1948	Design
1030	American	1950	Design
